Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,ExitRates,SpecialDay,Month_2,Month_3,Month_6,Month_7,Month_8,Month_9,Month_10,Month_11,Month_12,OperatingSystem1,OperatingSystem3,Browser1,Region2,Region3,Region4,Region5,Region6,Region7,Region8,Region9,NewVisitor,IfWeekend,OperatingSystemOther,BrowserOther
0.8066841496517004,2.167797979731054,-0.48979200199178496,-0.43093281320516097,-1.0848992809003275,-1.0189091870350806,0.4797536360281922,-0.3138052927506866,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
-0.40645474704880313,-0.6615131464451518,-0.48979200199178496,-0.43093281320516097,0.15713813121847345,2.0543513409705674,-1.0216167045960158,-0.3138052927506866,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
-0.40645474704880313,-0.44619131633141645,0.958486746922739,2.6778302483886303,-0.8187484068748702,-0.6851330310472129,-1.2130666174387168,-0.3138052927506866,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.8108343792823043,-0.7279705014185269,-0.48979200199178496,-0.43093281320516097,-0.5525975328494128,-0.8855577345164707,-0.5077248564463065,-0.3138052927506866,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.8108343792823043,-0.7279705014185269,-0.48979200199178496,-0.43093281320516097,-0.5525975328494128,-0.7423585121664328,-0.6921988601629007,-0.3138052927506866,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
-0.8108343792823043,-0.7279705014185269,-0.48979200199178496,-0.43093281320516097,-0.9074653648833559,-0.46246501626128805,-0.7616478944663428,-0.3138052927506866,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
0.4023045174181993,-0.4887240235143765,-0.48979200199178496,-0.43093281320516097,-0.50823905384517,-0.5727781080805445,-0.4164453137233703,-0.3138052927506866,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
-0.0020751148153019235,-0.5285984364984015,-0.48979200199178496,-0.43093281320516097,-0.1090127428069839,-0.6463201692572437,0.4797536360281922,2.6841353084726625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0.8066841496517004,2.167797979731054,2.4067654958372633,2.6778302483886303,2.0645527284009177,2.0543513409705674,0.08055851944448743,-0.3138052927506866,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
-0.8108343792823043,-0.7279705014185269,-0.48979200199178496,-0.43093281320516097,-0.9074653648833559,-0.9239369330462169,0.14118958533481032,-0.3138052927506866,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
